município,uf,população estimada
Santo Antônio do Retiro,MG,6.743
Santo Antônio do Rio Abaixo,MG,1.853
Santo Hipólito,MG,2.720
Santos Dumont,MG,43.392
São Bento Abade,MG,4.835
São Brás do Suaçuí,MG,4.133
São Domingos das Dores,MG,5.778
São Domingos do Prata,MG,17.771
São Félix de Minas,MG,3.252
São Francisco,MG,54.239
São Francisco de Paula,MG,6.293
São Francisco de Sales,MG,5.857
São Francisco do Glória,MG,4.866
São Geraldo,MG,10.517
São Geraldo da Piedade,MG,3.258
São Geraldo do Baixio,MG,3.175
São Gonçalo do Abaeté,MG,7.521
São Gonçalo do Pará,MG,12.192
São Gonçalo do Rio Abaixo,MG,12.353
São Gonçalo do Sapucaí,MG,24.480
São Gotardo,MG,43.309
São João Batista do Glória,MG,7.912
São João da Lagoa,MG,4.950
São João da Mata,MG,3.000
São João da Ponte,MG,24.269
São João das Missões,MG,13.467
São João del Rei,MG,94.062
São João do Manhuaçu,MG,11.614
São João do Manteninha,MG,5.468
São João do Oriente,MG,7.139
São João do Pacuí,MG,4.052
São João do Paraíso,MG,24.604
São João Evangelista,MG,15.617
São João Nepomuceno,MG,26.478
São Joaquim de Bicas,MG,36.496
São José da Barra,MG,8.084
São José da Lapa,MG,27.710
São José da Safira,MG,3.861
São José da Varginha,MG,4.677
São José do Alegre,MG,4.242
São José do Divino,MG,3.501
São José do Goiabal,MG,5.492
São José do Jacuri,MG,6.298
São José do Mantimento,MG,2.834
São Lourenço,MG,46.653
São Miguel do Anta,MG,6.430
São Pedro da União,MG,4.979
São Pedro dos Ferros,MG,7.194
São Pedro do Suaçuí,MG,5.166
São Romão,MG,10.553
São Roque de Minas,MG,7.341
São Sebastião da Bela Vista,MG,6.694
São Sebastião da Vargem Alegre,MG,3.219
São Sebastião do Anta,MG,6.386
São Sebastião do Maranhão,MG,10.244
São Sebastião do Oeste,MG,9.355
São Sebastião do Paraíso,MG,74.742
São Sebastião do Rio Preto,MG,1.248
São Sebastião do Rio Verde,MG,2.373
São Tiago,MG,11.517
São Tomás de Aquino,MG,6.853
São Tomé das Letras,MG,7.089
São Vicente de Minas,MG,6.935
Sapucaí-Mirim,MG,6.462
Sardoá,MG,5.164
Sarzedo,MG,39.327
Setubinha,MG,10.032
Sem-Peixe,MG,2.441
Senador Amaral,MG,6.458
Senador Cortes,MG,2.319
Senador Firmino,MG,7.945
Senador José Bento,MG,2.137
Senador Modestino Gonçalves,MG,4.035
Senhora de Oliveira,MG,5.584
Senhora do Porto,MG,3.088
Senhora dos Remédios,MG,10.640
Sericita,MG,7.536
Seritinga,MG,1.864
Serra Azul de Minas,MG,3.829
Serra da Saudade,MG,854
Serra dos Aimorés,MG,6.936
Serra do Salitre,MG,12.210
Serrania,MG,7.802
Serranópolis de Minas,MG,4.496
Serranos,MG,2.035
Serro,MG,22.550
Sete Lagoas,MG,237.931
Silveirânia,MG,2.391
Silvianópolis,MG,6.336
Simão Pereira,MG,3.060
Simonésia,MG,20.339
Sobrália,MG,5.175
Soledade de Minas,MG,5.733
Tabuleiro,MG,4.098
Taiobeiras,MG,34.392
Taparuba,MG,3.492
Tapira,MG,4.212
Tapiraí,MG,1.707
Taquaraçu de Minas,MG,4.368
Tarumirim,MG,15.072
Teixeiras,MG,12.634
Teófilo Otoni,MG,142.571
Timóteo,MG,84.087
Tiradentes,MG,8.008
Tiros,MG,8.172
Tocantins,MG,16.574
Tocos do Moji,MG,3.899
Toledo,MG,7.541
Tombos,MG,8.699
Três Corações,MG,78.079
Três Marias,MG,29.927
Três Pontas,MG,57.086
Tumiritinga,MG,5.973
Tupaciguara,MG,26.482
Turmalina,MG,20.650
Turvolândia,MG,5.078
Ubá,MG,107.222
Ubaí,MG,11.977
Ubaporanga,MG,13.423
Uberaba,MG,354.142
Uberlândia,MG,754.954
Umburatiba,MG,2.742
Unaí,MG,90.724
União de Minas,MG,3.848
Uruana de Minas,MG,3.360
Urucânia,MG,10.875
Urucuia,MG,18.291
Vargem Alegre,MG,5.834
Vargem Bonita,MG,2.206
Vargem Grande do Rio Pardo,MG,4.727
Varginha,MG,142.802
Varjão de Minas,MG,7.243
Várzea da Palma,MG,34.639
Varzelândia,MG,19.214
Vazante,MG,20.433
Verdelândia,MG,7.770
Veredinha,MG,5.257
Veríssimo,MG,3.480
Vermelho Novo,MG,5.034
Vespasiano,MG,136.826
Viçosa,MG,79.221
Vieiras,MG,3.780
Mathias Lobato,MG,3.069
Virgem da Lapa,MG,11.867
Virgínia,MG,9.142
Virginópolis,MG,10.519
Virgolândia,MG,4.530
Visconde do Rio Branco,MG,40.608
Volta Grande,MG,4.473
Wenceslau Braz,MG,2.387
Afonso Cláudio,ES,32.446
Águia Branca,ES,10.124
Água Doce do Norte,ES,12.559
Alegre,ES,30.744
Alfredo Chaves,ES,14.373
Alto Rio Novo,ES,7.747
Anchieta,ES,32.584
Apiacá,ES,7.474
Aracruz,ES,102.410
Atílio Vivácqua,ES,11.013
Baixo Guandu,ES,32.694
Barra de São Francisco,ES,45.250
Boa Esperança,ES,14.079
Bom Jesus do Norte,ES,10.764
Brejetuba,ES,13.642
Cachoeiro de Itapemirim,ES,198.323
Cariacica,ES,375.485
Castelo,ES,39.396
Colatina,ES,128.622
Conceição da Barra,ES,28.953
Conceição do Castelo,ES,12.448
Divino de São Lourenço,ES,5.359
Domingos Martins,ES,37.972
Dores do Rio Preto,ES,6.885
Ecoporanga,ES,22.670
Fundão,ES,18.824
Governador Lindenberg,ES,11.467
Guaçuí,ES,31.290
Guarapari,ES,134.944
Ibatiba,ES,27.308
Ibiraçu,ES,12.261
Ibitirama,ES,9.973
Iconha,ES,12.793
Irupi,ES,14.513
Itaguaçu,ES,14.065
Itapemirim,ES,43.362
Itarana,ES,10.984
Iúna,ES,30.444
Jaguaré,ES,31.232
Jerônimo Monteiro,ES,12.079
João Neiva,ES,14.391
Laranja da Terra,ES,11.572
Linhares,ES,181.912
Mantenópolis,ES,13.173
Marataízes,ES,45.418
Marechal Floriano,ES,18.743
Marilândia,ES,13.014
Mimoso do Sul,ES,25.179
Montanha,ES,19.752
Mucurici,ES,5.660
Muniz Freire,ES,18.811
Muqui,ES,14.213
Nova Venécia,ES,52.084
Pancas,ES,19.270
Pedro Canário,ES,22.048
Pinheiros,ES,24.825
Piúma,ES,23.682
Ponto Belo,ES,6.696
Presidente Kennedy,ES,14.647
Rio Bananal,ES,20.229
Rio Novo do Sul,ES,11.479
Santa Leopoldina,ES,13.747
Santa Maria de Jetibá,ES,45.062
Santa Teresa,ES,23.796
São Domingos do Norte,ES,9.008
São Gabriel da Palha,ES,34.210
São José do Calçado,ES,11.373
São Mateus,ES,133.359
São Roque do Canaã,ES,11.271
Serra,ES,572.274
Sooretama,ES,28.453
Vargem Alta,ES,20.353
Venda Nova do Imigrante,ES,25.168
Viana,ES,78.442
Vila Pavão,ES,9.298
Vila Valério,ES,14.263
Vila Velha,ES,502.899
Vitória,ES,342.800
Angra dos Reis,RJ,179.120
Aperibé,RJ,11.420
Araruama,RJ,137.773
Areal,RJ,12.236
Armação dos Búzios,RJ,42.442
Arraial do Cabo,RJ,32.794
Barra do Piraí,RJ,98.501
Barra Mansa,RJ,181.688
Belford Roxo,RJ,518.263
Bom Jardim,RJ,29.736
Bom Jesus do Itabapoana,RJ,37.172
Cabo Frio,RJ,238.166
Cachoeiras de Macacu,RJ,59.837
Cambuci,RJ,15.070
Carapebus,RJ,14.325
Comendador Levy Gasparian,RJ,9.044
Campos dos Goytacazes,RJ,519.011
Cantagalo,RJ,19.996
Cardoso Moreira,RJ,13.403
Carmo,RJ,17.740
Casimiro de Abreu,RJ,48.563
Conceição de Macabu,RJ,21.769
Cordeiro,RJ,21.444
Duas Barras,RJ,11.354
Duque de Caxias,RJ,866.347
Engenheiro Paulo de Frontin,RJ,12.648
Guapimirim,RJ,54.300
Iguaba Grande,RJ,29.577
Itaboraí,RJ,240.040
Itaguaí,RJ,123.980
Italva,RJ,14.517
Itaocara,RJ,23.643
Itaperuna,RJ,107.246
Itatiaia,RJ,32.694
Japeri,RJ,102.149
Laje do Muriaé,RJ,7.584
Macaé,RJ,264.138
Macuco,RJ,5.601
Magé,RJ,244.092
Mangaratiba,RJ,43.624
Maricá,RJ,211.986
Mendes,RJ,18.049
Mesquita,RJ,178.803
Miguel Pereira,RJ,28.123
Miracema,RJ,28.411
Natividade,RJ,15.550
Nilópolis,RJ,155.544
Niterói,RJ,516.720
Nova Friburgo,RJ,203.328
Nova Iguaçu,RJ,843.046
Paracambi,RJ,43.656
Paraíba do Sul,RJ,44.467
Paraty,RJ,47.614
Paty do Alferes,RJ,31.345
Petrópolis,RJ,294.983
Pinheiral,RJ,25.085
Piraí,RJ,29.054
Porciúncula,RJ,17.832
Porto Real,RJ,21.064
Quatis,RJ,14.158
Queimados,RJ,149.093
Quissamã,RJ,23.126
Resende,RJ,137.612
Rio Bonito,RJ,59.113
Rio Claro,RJ,17.950
Rio das Flores,RJ,9.264
Rio das Ostras,RJ,168.099
Rio de Janeiro,RJ,6.729.894
Santa Maria Madalena,RJ,10.579
Santo Antônio de Pádua,RJ,43.686
São Francisco de Itabapoana,RJ,47.368
São Fidélis,RJ,41.197
São Gonçalo,RJ,960.652
São João da Barra,RJ,38.708
São João de Meriti,RJ,466.536
São José de Ubá,RJ,7.315
São José do Vale do Rio Preto,RJ,22.799
São Pedro da Aldeia,RJ,110.556
São Sebastião do Alto,RJ,7.999
Sapucaia,RJ,18.289
Saquarema,RJ,95.201
Seropédica,RJ,84.737
Silva Jardim,RJ,22.026
Sumidouro,RJ,15.690
Tanguá,RJ,32.858
Teresópolis,RJ,176.692
Trajano de Moraes,RJ,10.652
Três Rios,RJ,82.300
Valença,RJ,71.462
Varre-Sai,RJ,10.559
Vassouras,RJ,35.904
Volta Redonda,RJ,279.898
Adamantina,SP,35.642
Adolfo,SP,4.478
Aguaí,SP,32.888
Águas da Prata,SP,7.470
Águas de Lindóia,SP,18.245
Águas de Santa Bárbara,SP,7.407
Águas de São Pedro,SP,2.829
Agudos,SP,38.879
Alambari,SP,6.330
Alfredo Marcondes,SP,4.556
Altair,SP,3.479
Altinópolis,SP,17.156
Alto Alegre,SP,3.883
Alumínio,SP,17.591
Álvares Florence,SP,3.978
Álvares Machado,SP,28.250
Álvaro de Carvalho,SP,4.896
Alvinlândia,SP,2.923
Americana,SP,246.655
Américo Brasiliense,SP,33.757
Américo de Campos,SP,5.975
Amparo,SP,69.717
Analândia,SP,4.684
Andradina,SP,61.473
Angatuba,SP,24.512
Anhembi,SP,5.766
Anhumas,SP,4.108
Aparecida,SP,33.223
Aparecida d'Oeste,SP,4.124
Apiaí,SP,24.886
Araçariguama,SP,22.168
Araçatuba,SP,207.775
Araçoiaba da Serra,SP,33.656
Aramina,SP,5.526
Arandu,SP,7.050
Arapeí,SP,2.355
Araraquara,SP,252.318
Araras,SP,135.331
Arco-Íris,SP,2.085
Arealva,SP,8.280
Areias,SP,3.625
Areiópolis,SP,10.257
Ariranha,SP,7.653
Artur Nogueira,SP,53.157
Arujá,SP,89.943
Aspásia,SP,1.873
Assis,SP,104.642
Atibaia,SP,166.043
Auriflama,SP,13.873
Avaí,SP,4.519
Avanhandava,SP,11.438
Avaré,SP,96.098
Bady Bassitt,SP,28.909
Balbinos,SP,3.963
Bálsamo,SP,9.854
Bananal,SP,10.109
Barão de Antonina,SP,3.618
Barbosa,SP,5.659
Bariri,SP,32.405
Barra Bonita,SP,35.159
Barra do Chapéu,SP,5.256
Barra do Turvo,SP,6.922
Barretos,SP,126.600
Barrinha,SP,33.181
Barueri,SP,330.339
Bastos,SP,21.900
Batatais,SP,59.873
Bauru,SP,391.740
Bebedouro,SP,78.210
Bento de Abreu,SP,2.642
Bernardino de Campos,SP,11.852
Bertioga,SP,66.873
Bilac,SP,7.455
Birigui,SP,122.988
Biritiba Mirim,SP,30.526
Boa Esperança do Sul,SP,13.135
Bocaina,SP,11.467
Bofete,SP,10.688
Boituva,SP,63.415
Bom Jesus dos Perdões,SP,22.501
Bom Sucesso de Itararé,SP,3.610
Borá,SP,928
Boracéia,SP,4.823
Borborema,SP,14.415
Borebi,SP,2.787
Botucatu,SP,150.442
Bragança Paulista,SP,184.634
Braúna,SP,5.466
Brejo Alegre,SP,2.605
Brodowski,SP,26.167
Brotas,SP,24.423
Buri,SP,20.674
Buritama,SP,17.597
Buritizal,SP,4.447
Cabrália Paulista,SP,4.362
Cabreúva,SP,48.473
Caçapava,SP,99.678
Cachoeira Paulista,SP,32.482
Caconde,SP,17.266
Cafelândia,SP,16.905
Caiabu,SP,3.745
Caieiras,SP,98.257
Caiuá,SP,5.585
Cajamar,SP,97.363
Cajati,SP,29.257
Cajobi,SP,9.232
Cajuru,SP,24.217
Campina do Monte Alegre,SP,6.077
Campinas,SP,1.185.977
Campo Limpo Paulista,SP,79.663
Campos do Jordão,SP,47.983
Campos Novos Paulista,SP,4.991
Cananéia,SP,12.489
Canas,SP,5.049
Cândido Mota,SP,30.172
Cândido Rodrigues,SP,2.951
Canitar,SP,6.524
Capão Bonito,SP,47.403
Capela do Alto,SP,23.597
Capivari,SP,51.318
Caraguatatuba,SP,141.084
Carapicuíba,SP,398.462
Cardoso,SP,11.491
Casa Branca,SP,28.786
Cássia dos Coqueiros,SP,2.855
Castilho,SP,20.418
Catanduva,SP,119.172
Catiguá,SP,7.105
Cedral,SP,13.160
Cerqueira César,SP,22.076
Cerquilho,SP,46.217
Cesário Lange,SP,19.588
Charqueada,SP,15.798
Clementina,SP,7.087
Colina,SP,18.842
Colômbia,SP,6.781
Conchal,SP,29.034
Conchas,SP,15.381
Cordeirópolis,SP,25.130
Coroados,SP,5.498
Coronel Macedo,SP,4.295
Corumbataí,SP,4.285
Cosmópolis,SP,61.204
Cosmorama,SP,8.968
Cotia,SP,287.004
Cravinhos,SP,34.252
Cristais Paulista,SP,9.543
Cruzália,SP,2.129
Cruzeiro,SP,76.513
Cubatão,SP,115.082
Cunha,SP,22.456
Descalvado,SP,32.622
Diadema,SP,404.118
Dirce Reis,SP,1.641
Divinolândia,SP,11.314
Dobrada,SP,8.958
Dois Córregos,SP,24.855
Dolcinópolis,SP,2.250
Dourado,SP,8.186
Dracena,SP,46.664
Duartina,SP,12.529
Dumont,SP,9.719
Echaporã,SP,6.295
Eldorado,SP,13.162
Elias Fausto,SP,18.103
Elisiário,SP,3.189
Embaúba,SP,2.353
Embu das Artes,SP,259.323
Embu-Guaçu,SP,68.805
Emilianópolis,SP,3.062
Engenheiro Coelho,SP,20.139
Espírito Santo do Pinhal,SP,40.681
Espírito Santo do Turvo,SP,4.217
Estrela d'Oeste,SP,9.655
Estrela do Norte,SP,2.749
Euclides da Cunha Paulista,SP,7.928
Fartura,SP,16.984
Fernandópolis,SP,73.286
Fernando Prestes,SP,6.066
Fernão,SP,1.689
Ferraz de Vasconcelos,SP,185.622
Flora Rica,SP,1.492
Floreal,SP,2.756
Flórida Paulista,SP,13.171
Florínea,SP,3.987
Franca,SP,364.331
Francisco Morato,SP,171.107
Franco da Rocha,SP,149.786
Gabriel Monteiro,SP,2.811
Gália,SP,6.435
Garça,SP,43.115
Gastão Vidigal,SP,3.235
Gavião Peixoto,SP,4.797
General Salgado,SP,10.449
Getulina,SP,10.355
Glicério,SP,4.173
Guaiçara,SP,11.459
Guaimbê,SP,5.606
Guaíra,SP,40.424
Guapiaçu,SP,22.316
Guapiara,SP,17.256
Guará,SP,18.790
Guaraçaí,SP,7.486
Guaraci,SP,10.542
Guarani d'Oeste,SP,1.999
Guarantã,SP,6.531
Guararapes,SP,31.872
Guararema,SP,32.436
Guaratinguetá,SP,121.710
Guareí,SP,15.268
Guariba,SP,38.609
Guarujá,SP,294.973
Guarulhos,SP,1.345.364
Guatapará,SP,7.462
Guzolândia,SP,4.276
Herculândia,SP,9.302
Holambra,SP,15.596
Hortolândia,SP,247.331
Iacanga,SP,10.633
Iacri,SP,6.207
Iaras,SP,8.257
Ibaté,SP,33.110
Ibirá,SP,11.934
Ibirarema,SP,6.461
Ibitinga,SP,61.908
Ibiúna,SP,77.651
Icém,SP,7.969
Iepê,SP,7.739
Igaraçu do Tietê,SP,23.430
Igarapava,SP,26.755
Igaratá,SP,10.904
Iguape,SP,29.881
Ilhabela,SP,36.329
Ilha Comprida,SP,13.955
Ilha Solteira,SP,26.240
Indaiatuba,SP,267.796
Indiana,SP,5.191
Indiaporã,SP,4.109
Inúbia Paulista,SP,3.671
Ipaussu,SP,13.933
Iperó,SP,37.999
Ipeúna,SP,6.999
Ipiguá,SP,7.037
Iporanga,SP,4.091
Ipuã,SP,14.691
Iracemápolis,SP,22.435
Irapuã,SP,6.946
Irapuru,SP,7.145
Itaberá,SP,18.258
Itaí,SP,25.930
Itajobi,SP,17.420
Itaju,SP,3.702
Itanhaém,SP,117.435
Itaoca,SP,3.490
Itapecerica da Serra,SP,163.928
Itapetininga,SP,163.774
Itapeva,SP,92.324
Itapevi,SP,241.924
Itapira,SP,73.919
Itapirapuã Paulista,SP,4.405
Itápolis,SP,40.464
Itaporanga,SP,14.260
Itapuí,SP,13.984
Itapura,SP,4.014
Itaquaquecetuba,SP,382.521
Itararé,SP,45.327
Itariri,SP,15.762
Itatiba,SP,126.403
Itatinga,SP,19.427
Itirapina,SP,16.433
Itirapuã,SP,5.861
Itobi,SP,8.210
Itu,SP,174.561
Itupeva,SP,74.119
Ituverava,SP,38.451
Jaborandi,SP,6.293
Jaboticabal,SP,73.467
Jacareí,SP,249.968
Jaci,SP,7.878
Jacupiranga,SP,16.254
Jaguariúna,SP,61.801
Jales,SP,50.017
Jambeiro,SP,6.575
Jandira,SP,121.988
Jardinópolis,SP,46.868
Jarinu,SP,39.531
Jaú,SP,137.323
Jeriquara,SP,3.976
Joanópolis,SP,13.095
João Ramalho,SP,4.456
José Bonifácio,SP,37.859
Júlio Mesquita,SP,4.308
Jumirim,SP,3.123
Jundiaí,SP,460.313
Junqueirópolis,SP,20.878
Juquiá,SP,17.255
Juquitiba,SP,28.007
Lagoinha,SP,5.182
Laranjal Paulista,SP,27.009
Lavínia,SP,9.909
Lavrinhas,SP,7.328
Leme,SP,101.316
Lençóis Paulista,SP,68.395
Limeira,SP,300.728
Lindóia,SP,7.147
Lins,SP,76.729
Lorena,SP,87.370
Lourdes,SP,1.968
Louveira,SP,54.111
Lucélia,SP,20.372
Lucianópolis,SP,2.419
Luís Antônio,SP,12.531
Luiziânia,SP,4.751
Lupércio,SP,4.017
Lutécia,SP,2.699
Macatuba,SP,17.120
Macaubal,SP,7.587
Macedônia,SP,4.048
Magda,SP,3.212
Mairinque,SP,51.660
Mairiporã,SP,97.399
Manduri,SP,10.092
Marabá Paulista,SP,4.627
Maracaí,SP,12.826
Marapoama,SP,3.392
Mariápolis,SP,3.539
Marília,SP,246.627
Marinópolis,SP,1.870
Martinópolis,SP,25.299
Matão,SP,80.998
Mauá,SP,429.380
Mendonça,SP,6.369
Meridiano,SP,4.697
Mesópolis,SP,1.988
Miguelópolis,SP,19.655
Mineiros do Tietê,SP,11.349
Miracatu,SP,18.679
Mira Estrela,SP,3.199
Mirandópolis,SP,28.737
Mirante do Paranapanema,SP,16.069
Mirassol,SP,65.485
Mirassolândia,SP,4.771
Mococa,SP,69.324
Mogi das Cruzes,SP,468.120
Mogi Guaçu,SP,159.735
Mogi Mirim,SP,95.534
Mombuca,SP,3.815
Monções,SP,1.954
Mongaguá,SP,64.519
Monte Alegre do Sul,SP,8.873
Monte Alto,SP,48.725
Monte Aprazível,SP,22.650
Monte Azul Paulista,SP,18.363
Monte Castelo,SP,4.301
Monteiro Lobato,SP,4.205
Monte Mor,SP,67.296
Morro Agudo,SP,28.561
Morungaba,SP,14.081
Motuca,SP,4.079
Murutinga do Sul,SP,3.763
Nantes,SP,2.699
Narandiba,SP,5.908
Natividade da Serra,SP,7.134
Nazaré Paulista,SP,18.620
Neves Paulista,SP,9.921
Nhandeara,SP,9.944
Nipoã,SP,4.860
Nova Aliança,SP,6.858
Nova Campina,SP,8.631
Nova Canaã Paulista,SP,2.058
Nova Castilho,SP,1.074
Nova Europa,SP,9.459
Nova Granada,SP,19.725
Nova Guataporanga,SP,2.188
Nova Independência,SP,4.795
Novais,SP,4.469
Nova Luzitânia,SP,2.838
Nova Odessa,SP,64.228
Novo Horizonte,SP,39.435
Nuporanga,SP,7.550
Ocauçu,SP,4.412
Óleo,SP,2.540
Olímpia,SP,56.701
Onda Verde,SP,4.912
Oriente,SP,6.180
Orindiúva,SP,6.145
Orlândia,SP,39.193
Osasco,SP,756.952
Oscar Bressane,SP,2.504
Osvaldo Cruz,SP,32.099
Ourinhos,SP,106.877
Ouroeste,SP,10.596
Ouro Verde,SP,7.901
Pacaembu,SP,15.217
Palestina,SP,11.689
Palmares Paulista,SP,9.709
Palmeira d'Oeste,SP,8.994
Palmital,SP,19.767
Panorama,SP,15.214
Paraguaçu Paulista,SP,42.087
Paraibuna,SP,17.950
Paraíso,SP,6.211
Paranapanema,SP,19.799
Paranapuã,SP,4.111
Parapuã,SP,10.729
Pardinho,SP,7.382
Pariquera-Açu,SP,19.576
Parisi,SP,3.001
Patrocínio Paulista,SP,14.837
Paulicéia,SP,8.200
Paulínia,SP,115.690
Paulistânia,SP,2.146
Paulo de Faria,SP,7.430
Pederneiras,SP,46.223
Pedra Bela,SP,6.718
Pedranópolis,SP,2.848
Pedregulho,SP,15.742
Pedreira,SP,44.332
Pedrinhas Paulista,SP,2.838
Pedro de Toledo,SP,11.539
Penápolis,SP,63.317
Pereira Barreto,SP,24.389
Pereiras,SP,8.969
Peruíbe,SP,70.543
Piacatu,SP,5.623
Piedade,SP,54.237
Pilar do Sul,SP,28.417
Pindamonhangaba,SP,172.027
Pindorama,SP,14.721
Pinhalzinho,SP,15.605
Piquerobi,SP,3.296
Piquete,SP,12.570
Piracaia,SP,26.764
Piracicaba,SP,438.827
Piraju,SP,30.261
Pirajuí,SP,22.743
Pirangi,SP,11.076
Pirapora do Bom Jesus,SP,18.836
Pirapozinho,SP,26.065
Pirassununga,SP,75.475
Piratininga,SP,15.554
Pitangueiras,SP,34.416
Planalto,SP,4.454
Platina,SP,3.061
Poá,SP,106.431
Poloni,SP,5.696
Pompéia,SP,20.512
Pongaí,SP,3.443
Pontal,SP,38.376
Pontalinda,SP,4.196
Pontes Gestal,SP,2.415
Populina,SP,4.185
Porangaba,SP,10.773
Porto Feliz,SP,58.345
Porto Ferreira,SP,53.940
Potim,SP,20.767
Potirendaba,SP,18.994
Pracinha,SP,2.599
Pradópolis,SP,17.309
Praia Grande,SP,365.577
Pratânia,SP,5.246
Presidente Alves,SP,3.841
Presidente Bernardes,SP,14.772
Presidente Epitácio,SP,40.383
Presidente Prudente,SP,234.083
Presidente Venceslau,SP,35.902
Promissão,SP,35.991
Quadra,SP,3.472
Quatá,SP,13.399
Queiroz,SP,3.351
Queluz,SP,9.146
Quintana,SP,7.225
Rafard,SP,9.133
Rancharia,SP,29.305
Redenção da Serra,SP,4.611
Regente Feijó,SP,20.565
Reginópolis,SP,7.808
Registro,SP,61.732
Restinga,SP,6.492
Ribeira,SP,3.166
Ribeirão Bonito,SP,11.079
Ribeirão Branco,SP,18.930
Ribeirão Corrente,SP,4.706
Ribeirão do Sul,SP,4.768
Ribeirão dos Índios,SP,2.045
Ribeirão Grande,SP,7.570
Ribeirão Pires,SP,118.877
Ribeirão Preto,SP,728.400
Riversul,SP,5.647
Rifaina,SP,4.158
Rincão,SP,9.145
Rinópolis,SP,9.357
Rio Claro,SP,208.857
Rio das Pedras,SP,32.267
Rio Grande da Serra,SP,45.317
Riolândia,SP,10.453
Rosana,SP,17.533
Roseira,SP,11.095
Rubiácea,SP,2.741
Rubinéia,SP,3.965
Sabino,SP,5.185
Sagres,SP,2.519
Sales,SP,6.612
Sales Oliveira,SP,11.654
Salesópolis,SP,15.396
Salmourão,SP,4.883
Saltinho,SP,8.371
Salto,SP,140.125
Salto de Pirapora,SP,45.138
Salto Grande,SP,9.212
Sandovalina,SP,3.699
Santa Adélia,SP,14.203
Santa Albertina,SP,6.543
Santa Bárbara d'Oeste,SP,189.338
Santa Branca,SP,14.212
Santa Clara d'Oeste,SP,2.677
Santa Cruz da Conceição,SP,4.365
Santa Cruz da Esperança,SP,2.162
Santa Cruz das Palmeiras,SP,29.525
Santa Cruz do Rio Pardo,SP,47.677
Santa Ernestina,SP,6.256
Santa Fé do Sul,SP,36.098
Santa Gertrudes,SP,24.107
Santa Isabel,SP,54.586
Santa Lúcia,SP,7.181
Santa Maria da Serra,SP,5.314
Santa Mercedes,SP,3.012
Santana da Ponte Pensa,SP,1.698
Santana de Parnaíba,SP,162.341
Santa Rita d'Oeste,SP,2.790
Santa Rita do Passa Quatro,SP,25.060
Santa Rosa de Viterbo,SP,23.725
Santa Salete,SP,1.686
Santo Anastácio,SP,18.045
Santo André,SP,778.711
Santo Antônio da Alegria,SP,6.917
Santo Antônio de Posse,SP,23.779
Santo Antônio do Aracanguá,SP,8.568
Santo Antônio do Jardim,SP,6.237
Santo Antônio do Pinhal,SP,7.294
Santo Expedito,SP,3.063
Santópolis do Aguapeí,SP,3.933
Santos,SP,429.567
São Bento do Sapucaí,SP,11.948
São Bernardo do Campo,SP,840.499
São Caetano do Sul,SP,172.109
São Carlos,SP,265.294
São Francisco,SP,2.629
São João da Boa Vista,SP,95.762
São João das Duas Pontes,SP,2.622
São João de Iracema,SP,1.880
São João do Pau d'Alho,SP,2.288
São Joaquim da Barra,SP,49.815
São José da Bela Vista,SP,7.690
São José do Barreiro,SP,3.898
São José do Rio Pardo,SP,53.416
São José do Rio Preto,SP,501.597
São José dos Campos,SP,724.756
São Lourenço da Serra,SP,16.458
São Luiz do Paraitinga,SP,10.497
São Manuel,SP,38.166
São Miguel Arcanjo,SP,32.904
São Paulo,SP,11.895.578
São Pedro,SP,39.725
São Pedro do Turvo,SP,7.333
São Roque,SP,81.342
São Sebastião,SP,84.019
São Sebastião da Grama,SP,10.484
São Simão,SP,13.590
São Vicente,SP,338.407
Sarapuí,SP,10.632
Sarutaiá,SP,3.769
Sebastianópolis do Sul,SP,3.187
Serra Azul,SP,13.058
Serrana,SP,45.408
Serra Negra,SP,30.920
Sertãozinho,SP,131.600
Sete Barras,SP,12.912
Severínia,SP,14.724
Silveiras,SP,6.313
Socorro,SP,41.405
Sorocaba,SP,757.459
Sud Mennucci,SP,7.466
Sumaré,SP,289.787
Suzano,SP,318.765
Suzanápolis,SP,3.464
Tabapuã,SP,11.499
Tabatinga,SP,14.994
Taboão da Serra,SP,284.274
Taciba,SP,6.399
Taguaí,SP,13.006
Taiaçu,SP,5.751
Taiúva,SP,6.733
Tambaú,SP,21.682
Tanabi,SP,26.021
Tapiraí,SP,8.122
Tapiratiba,SP,11.936
Taquaral,SP,2.652
Taquaritinga,SP,53.322
Taquarituba,SP,24.863
Taquarivaí,SP,7.112
Tarabai,SP,6.635
Tarumã,SP,15.248
Tatuí,SP,128.560
Taubaté,SP,321.298
Tejupá,SP,4.142
Teodoro Sampaio,SP,22.559
Terra Roxa,SP,7.985
Tietê,SP,38.690
Timburi,SP,2.490
Torre de Pedra,SP,2.063
Torrinha,SP,9.484
Trabiju,SP,1.719
Tremembé,SP,53.083
Três Fronteiras,SP,7.013
Tuiuti,SP,6.947
Tupã,SP,65.416
Tupi Paulista,SP,16.206
Turiúba,SP,1.839
Turmalina,SP,1.672
Ubarana,SP,5.456
Ubatuba,SP,96.598
Ubirajara,SP,5.265
Uchoa,SP,10.627
União Paulista,SP,1.628
Urânia,SP,8.973
Uru,SP,1.419
Urupês,SP,14.038
Valentim Gentil,SP,14.531
Valinhos,SP,131.277
Valparaíso,SP,24.723
Vargem,SP,10.805
